class_id,label,action,category
C2485083,suicide method (Class Pages),assign,suicide method (Class Pages)
Q11492760,information services,assign,information services
Q474328,declarative sentence,split,
Q15116915,show,assign,Events
Q124809532,internal risk,split,
Q3972943,publishing,assign,publishing
Q3948731,web content,assign,Events
C134601875,group or class of people (Class Pages),split,
C134261520,group or class of humans (Class Pages),split,
C16334295,group of humans (Class Pages),split,
Q159810,economy,assign,economy
C12136,disease (Class Pages),split,
Q124757,riot,assign,Events
C3251388,continuum (Class Pages),split,
C1704572,continuum (Class Pages),split,
C102205,fluid (Class Pages),split,
C11435,liquid (Class Pages),split,
C40050,drink (Class Pages),assign,drink (Class Pages)
Q62391930,beauty pageant edition,assign,Events
C602884,social phenomenon (Class Pages),split,
C66310125,nonbiological component (Class Pages),split,
C853725,social relation (Class Pages),split,
Q207961,shape,split,
C6423319,knowledge organization system (Class Pages),split,
Q105948247,knowledge system,split,
Q17326725,group of companies,assign,group of companies
Q68619446,written contract,assign,Events
Q57338471,voters’ association,assign,voters’ association
Q80006,computer programming,assign,computer programming
C1656682,event (Class Pages),split,
C1172284,data set (Class Pages),assign,data set (Class Pages)
Q51591359,voting result,assign,Events
C28627,gestation (Class Pages),assign,gestation (Class Pages)
P41662,Ramadan,assign,Events
Q12136,disease,assign,disease
C340169,communications media (Class Pages),split,
Q6423319,knowledge organization system,split,
Q131362181,social science concept,split,
C35825432,converter (Class Pages),split,
C11019,machine (Class Pages),assign,machine (Class Pages)
Q117850,doctrine,split,
Q740464,legal act,assign,Events
Q1178984,vulnerability,split,
Q116861721,type of drink,assign,type of drink
Q3958441,economic sector,split,
P28406315,SmartBear,assign,SmartBear
Q116732893,social construct,split,
Q48277,gender,split,
Q48264,gender identity,assign,gender identity
P7603788,State_of_Origin_results_and_statistics,assign,State_of_Origin_results_and_statistics
Q2198855,cultural movement,split,
Q12139612,list,split,
Q108163,proposition,split,
C182940,dessert (Class Pages),assign,dessert (Class Pages)
C26907166,temporal entity (Class Pages),split,
P109973984,2022_AFL_draft,assign,Events
Q472971,space,split,
P42388,Zionism,assign,Zionism
Q1127759,cognitive bias,assign,cognitive bias
Q483372,paradox,assign,paradox
Q2097994,municipal corporation,assign,municipal corporation
Q4189293,rank,assign,rank
C27043948,material anatomical entity (Class Pages),assign,material anatomical entity (Class Pages)
C1689296,calamity (Class Pages),assign,Events
C184303,gift (Class Pages),assign,gift (Class Pages)
Q878249,alliance,split,
C1139327,rivalry (Class Pages),split,
C476300,competition (Class Pages),split,
C841654,competition (Class Pages),split,
C23807345,competition (Class Pages),split,
C13406554,sports competition (Class Pages),assign,Events
Q1454986,physical system,split,
Q11204,legislature,split,
Q184872,recreation,split,
Q1003030,test,split,
Q1200977,quaternary sector of the economy,split,
Q1030034,GLAM,assign,GLAM
P595841,Member_states_of_NATO,assign,Member_states_of_NATO
C751989,astronomical phenomenon (Class Pages),split,
Q11496165,combat technique,split,
Q3242199,strike,split,
P107293075,Eshay,assign,Eshay
Q1826286,religious movement,assign,religious movement
Q494756,data,split,
Q179661,medical treatment,split,
Q208500,principality,assign,principality
C1554231,resource (Class Pages),split,
Q189819,ritual,assign,Events
Q640506,cabinet,assign,Events
Q8513,database,assign,database
Q6857862,military strike,split,
Q678146,bombardment,assign,Events
C5127848,class (Class Pages),split,
Q1434121,animal communication,split,
Q1066689,human communication,split,
C16889133,class (Class Pages),split,
Q34104,science and technology,split,
Q11016,technology,split,
Q208920,one-dimensional space,split,
Q161973,curve,split,
C4531715,emotional process (Class Pages),split,
C205555,feeling (Class Pages),split,
C1124198,affection (Class Pages),split,
C316,love (Class Pages),split,
C2713053,physical love (Class Pages),split,
C1190058,physical intimacy (Class Pages),assign,physical intimacy (Class Pages)
C37038,advertising (Class Pages),assign,advertising (Class Pages)
Q15053549,gravitationally bound system,assign,gravitationally bound system
Q17155032,software category,assign,software category
Q101965,experiment,split,
P115822280,2023_AFL_draft,assign,Events
Q132759797,pedagogic institution,split,
Q2385804,educational institution,assign,educational institution
Q6138528,political coalition,split,
Q2110808,religious behaviour,split,
Q7188,government,split,
C117670709,add-on (Class Pages),split,
Q1069280,Regulation of chemicals,assign,Regulation of chemicals
Q2270606,spiritual practice,split,
P380,Meta_Platforms,assign,Meta_Platforms
C362200,accessory (Class Pages),split,
C1065579,fashion accessory (Class Pages),assign,fashion accessory (Class Pages)
Q10675206,ingredient,split,
Q20203388,extremity,split,
Q25403900,food ingredient,assign,food ingredient
Q815741,geometric shape,assign,geometric shape
Q1048607,conviction,split,
Q901597,public holidays in Canada,assign,Events
Q367293,convention,split,
Q20045456,political position,split,
Q7832362,traditional story,split,
Q11224256,IP network,assign,IP network
Q110227435,past occurrence,assign,Events
P24997544,Lotteries_in_Australia,assign,Lotteries_in_Australia
Q44342,legend,split,
C386724,work (Class Pages),split,
C567555,anomaly (Class Pages),split,
C3537603,transgression (Class Pages),split,
Q1931388,cause of death,split,
Q100742664,sports data,assign,sports data
Q1167393,economic indicator,assign,economic indicator
Q12131,disability,assign,disability
C211606,social structure (Class Pages),split,
C15621286,intellectual work (Class Pages),split,
C17537576,creative work (Class Pages),split,
Q1283504,social engagement,split,
Q203764,activism,assign,Events
Q103995117,medical entity type,assign,medical entity type
C1456832,violation of law (Class Pages),assign,Events
C17538258,recreative work (Class Pages),split,
C11410,game (Class Pages),assign,game (Class Pages)
C2305441,social process (Class Pages),split,
Q119892838,type of mixture of chemical entities,assign,type of mixture of chemical entities
Q131841,idea,split,
Q24334685,mythical entity,assign,mythical entity
C628523,message (Class Pages),split,
C1754533,source text (Class Pages),split,
C1063801,tertiary source (Class Pages),split,
C13136,reference work (Class Pages),split,
C317623,technical standard (Class Pages),assign,technical standard (Class Pages)
Q123345464,type of interaction,split,
Q11572907,order of succession,assign,order of succession
Q2366457,department,split,
Q806880,banner,assign,banner
Q15057020,engine family,assign,engine family
Q35749,parliament,assign,parliament
Q100709275,combat vehicle family,assign,combat vehicle family
Q47574,unit of measurement,split,
C1151067,rule (Class Pages),split,
Q3196,fire,assign,Events
P3778684,Melbourne_gangland_killings,assign,Events
Q4026292,action,assign,Events
Q54445847,type of economic interaction,assign,type of economic interaction
Q211364,principle,split,
C651943,signifier (Class Pages),split,
C82799,name (Class Pages),split,
Q1866689,configuration,split,
Q13567909,syzygy,assign,Events
Q4220917,film award,assign,Events
Q273182,gold rush,assign,Events
Q17737,theory,split,
Q125191,photograph,assign,photograph
Q31338769,alternative medicine,assign,alternative medicine
C7748,law (Class Pages),split,
Q820655,statute,assign,Events
Q46737,asset,split,
Q124315169,vehicle functional class,assign,vehicle functional class
Q29485,error,split,
Q1400264,artist collective,assign,artist collective
Q1075,color,assign,color
Q864928,life sciences,split,
Q420,biology,split,
P1065320,Coalition_(Australia),assign,Coalition_(Australia)
C839546,machine element (Class Pages),split,
Q14946528,conflation,assign,conflation
Q11563,number,assign,number
Q11105360,medium of exchange,split,
Q8142,currency,assign,currency
Q251777,custom,split,
P40540,Zodiac,assign,Zodiac
Q118733587,type of meteorological phenomenon,assign,type of meteorological phenomenon
P908144,Wesfarmers,assign,Wesfarmers
C79782,motion (Class Pages),split,
C865365,Jim Crow laws (Class Pages),assign,Events
Q47728,hobby,assign,hobby
C246672,mathematical object (Class Pages),split,
C3249551,process (Class Pages),split,
Q64728694,proposed entity,split,
Q82821,tradition,split,
Q2116008,psychological experiment,assign,Events
Q37765851,by topic,assign,by topic
Q2141565,situation,split,
Q5707594,news article,assign,Events
Q1758354,plot,split,
Q856663,Bible story,assign,Events
C5962346,classification scheme (Class Pages),assign,classification scheme (Class Pages)
Q6031064,information exchange,split,
P4671205,Academic_grading_in_Australia,assign,Academic_grading_in_Australia
Q2623243,conceptual model,split,
Q1166625,mathematical problem,split,
Q327197,legal transaction,assign,Events
Q2806437,transport service,assign,transport service
C2695280,technique (Class Pages),split,
P209287,Wonders_of_the_World,assign,Wonders_of_the_World
Q13414953,religious denomination,assign,religious denomination
Q119822504,technical activity,split,
Q2252077,shooting,assign,Events
Q105967696,vaccine type,assign,vaccine type
Q123261191,optical illusion image,assign,optical illusion image
Q66374263,religion of an area,assign,religion of an area
Q621184,problem,split,
Q115898316,department of a sports club,split,
Q50846468,sports tour,assign,Events
P2164870,Eureka_Rebellion,assign,Events
Q23847174,religious concept,assign,religious concept
Q6026443,indoor sport,split,
Q121459946,café game,assign,café game
P49001162,Ant_Middleton,assign,Ant_Middleton
Q193946,scientific model,split,
Q96088545,former geographical object,assign,former geographical object
P114237880,2022_AFL_Grand_Final,assign,Events
C7397,software (Class Pages),split,
C1190554,occurrence (Class Pages),split,
Q1915979,medal table,assign,medal table
P1017324,Bushfires_in_Australia,assign,Events
C2145290,mental representation (Class Pages),split,
Q5389993,philosophical theory,split,
Q839578,group dynamics,split,
Q180684,conflict,assign,Events
Q74026205,descent,assign,Events
Q65559775,psychological model,assign,psychological model
Q126770188,fictional social role,split,
Q129586945,fictional social position,split,
Q115580828,fictional analog of an occupation,assign,fictional analog of an occupation
Q918240,territorial evolution of the British Empire,assign,territorial evolution of the British Empire
Q427581,intangible asset,split,
Q1146001,light source,split,
C1209283,electronic media (Class Pages),assign,electronic media (Class Pages)
Q268592,industry,assign,industry
P1976204,Chinese_zodiac,assign,Chinese_zodiac
Q264965,subculture,assign,subculture
C60673395,vehicle component (Class Pages),assign,vehicle component (Class Pages)
Q3918409,proposal,assign,Events
Q1990987,social theory,assign,social theory
Q17951,jargon,assign,jargon
Q16513426,decision,split,
C4189293,rank (Class Pages),assign,rank (Class Pages)
C35459920,three-dimensional object (Class Pages),assign,three-dimensional object (Class Pages)
Q8434,education,split,
Q74026067,ascent,assign,Events
C378078,substance (Class Pages),split,
C28732711,physical substance (Class Pages),split,
C35758,matter (Class Pages),split,
Q159595,distance education,split,
Q28754053,educational website,split,
Q615699,online encyclopedia,assign,online encyclopedia
Q100701259,editorial decision,split,
Q98398200,rejection,split,
Q7313594,renunciation,assign,Events
Q2267705,field of study,assign,field of study
Q273120,protest,assign,Events
Q28819924,political alignment,assign,political alignment
Q1213562,adaptation,assign,adaptation
C16510064,sporting event (Class Pages),assign,Events
C131841,idea (Class Pages),split,
Q1792644,art style,assign,art style
C180684,conflict (Class Pages),split,
P4692,Renaissance,assign,Events
P4879987,Beer_in_Australia,assign,Beer_in_Australia
Q1150070,change,split,
Q11024,communication,split,
Q123237961,abortion by country,assign,abortion by country
C221173,outline of academic disciplines (Class Pages),split,
C336,science (Class Pages),split,
Q17450153,animal attack,assign,Events
Q7268708,qualitative property,split,
Q282250,qualia,split,
Q859781,bigotry,assign,bigotry
Q9415,emotion,assign,emotion
Q2500638,creator,assign,creator
Q1047113,field of study,split,
Q2465832,branch of science,assign,branch of science
Q276548,secret society,assign,secret society
Q32090,lifestyle,assign,lifestyle
Q23387,week,assign,Events
Q96247293,type of management,assign,type of management
Q15169167,execution method,assign,execution method
C10547012,common matter (Class Pages),split,
C6005984,baryonic matter (Class Pages),split,
C28555911,ordinary matter (Class Pages),split,
Q110295396,type of musical instrument,assign,type of musical instrument
Q1756477,league system,assign,league system
P96402286,Robodebt_scheme,assign,Robodebt_scheme
C1485500,tangible good (Class Pages),split,
Q220659,archaeological artefact,assign,archaeological artefact
Q98734151,funded product,assign,funded product
Q372222,human-readable medium,split,
Q451553,visualization,split,
Q4204501,historical ethnic group,assign,historical ethnic group
Q845734,infographics,split,
Q28923,chart,split,
Q756820,cult,assign,cult
P178516,Gucci,assign,Gucci
Q10372568,society,split,
Q8425,society,split,
Q523,star,assign,star
Q186117,timeline,assign,Events
Q8432,civilization,assign,civilization
Q16876989,list of Nigerian comedians,assign,list of Nigerian comedians
C3968640,mental state (Class Pages),assign,mental state (Class Pages)
Q732577,publication,split,
C24334685,mythical entity (Class Pages),assign,mythical entity (Class Pages)
Q2393196,personality trait,assign,personality trait
C108163,proposition (Class Pages),split,
C123524,solstice (Class Pages),assign,Events
P58155,Four_Horsemen_of_the_Apocalypse,assign,Four_Horsemen_of_the_Apocalypse
P83164,British_East_India_Company,assign,British_East_India_Company
C28314507,recurring entity (Class Pages),split,
C15275719,recurring event (Class Pages),assign,Events
Q529711,beginning,assign,Events
Q104911496,Military colours,assign,Military colours
Q772636,cryptid,assign,cryptid
C2281940,chemical process (Class Pages),split,
Q19478619,metaclass,assign,metaclass
Q122397289,imaginary event,assign,Events
P1968,F1,assign,F1
Q47041,biodiversity,assign,biodiversity
Q786753,personality type,assign,personality type
Q1417728,trade name,assign,trade name
Q138341612,time interval with respect to recurring time interval,assign,Events
C337060,perceptible physical object (Class Pages),assign,perceptible physical object (Class Pages)
Q136937248,ongoing project,assign,Events
Q38033430,class of award,assign,Events
Q27333683,living things in culture,split,
Q28048894,animals in culture,assign,animals in culture
C16686022,natural physical object (Class Pages),split,
P243630,BRICS,assign,BRICS
C846882,sources of law (Class Pages),split,
Q17444909,astronomical object type,assign,astronomical object type
Q23722468,advisory group,assign,Events
P2087968,MacOS_version_history,assign,MacOS_version_history
C46737,asset (Class Pages),split,
C15916459,plea (Class Pages),assign,plea (Class Pages)
Q154547,duchy,assign,duchy
Q3482410,group behaviour,split,
Q79719,license,assign,license
P15131448,Teetotal,assign,Teetotal
Q19861951,type of food or dish,assign,type of food or dish
P47586,Electoral_College_(United_States),assign,Electoral_College_(United_States)
Q7897387,unrest,assign,Events
P85785303,Microsoft_Office_Mix,assign,Microsoft_Office_Mix
C61951,infusion (Class Pages),assign,infusion (Class Pages)
Q46997958,climate of geographic location,assign,climate of geographic location
C6666023,motion (Class Pages),split,
C747883,physical activity (Class Pages),split,
Q24238356,unknown,assign,unknown
C2451477,natural material (Class Pages),split,
Q135268496,group of 4,split,
Q1443637,tetralogy,assign,tetralogy
Q1685841,space curve,split,
Q78262214,closed polygonal chain,split,
Q37555,polygon,assign,polygon
Q20984678,eater,split,
Q29017578,predator,split,
Q19067,apex predator,assign,apex predator
Q209287,Wonders of the World,assign,Wonders of the World
Q2438541,manner of death,split,
Q4330518,object of study,assign,object of study
Q33104069,political concept,split,
P913501,FIFA_Women's_World_Ranking,assign,FIFA_Women's_World_Ranking
Q3337001,nationality for sports,assign,nationality for sports
Q1006644,federal government,assign,federal government
Q61509,travel,assign,Events
Q1053916,theme,split,
C2198779,unit (Class Pages),split,
C11422,toy (Class Pages),assign,toy (Class Pages)
Q2485083,suicide method,assign,suicide method
C4303335,program (Class Pages),assign,program (Class Pages)
Q11471,time,assign,time
Q717040,Christmas tradition,assign,Events
C11953984,linguistic unit (Class Pages),assign,linguistic unit (Class Pages)
Q55568967,biological structure,split,
Q4936952,anatomical structure,assign,anatomical structure
Q811683,proposed building or structure,split,
Q30149195,biblical concept,assign,biblical concept
C11978,digestion (Class Pages),split,
C6950796,fermented food (Class Pages),assign,fermented food (Class Pages)
P1915584,Human_penis_size,assign,Human_penis_size
Q1762471,rhetorical device,assign,rhetorical device
Q4127956,second signal system,split,
Q52946,speech,assign,speech
P589794,World_Rugby_Rankings,assign,World_Rugby_Rankings
Q1252971,food manufacturer,assign,food manufacturer
Q107708444,reinforcement,assign,reinforcement
C3036574,gender system (Class Pages),assign,gender system (Class Pages)
C2623243,conceptual model (Class Pages),split,
P21683250,Kahoot!,assign,Kahoot!
Q1004,comics,assign,comics
Q6045936,scientific knowledge,split,
Q3239681,scientific theory,assign,scientific theory
Q189349,urban legend,split,
Q1127126,military alliance,assign,Events
P124968366,Alameddine_crime_network,assign,Events
Q1920219,social issue,split,
Q70477194,mass vaccination,assign,Events
Q105210,universal law,split,
Q189533,academic degree,assign,academic degree
Q408891,scientific law,split,
Q266237,algebraic curve,split,
Q37105,line,split,
Q875399,boundary,assign,boundary
C28813620,set (Class Pages),split,
C16887380,group (Class Pages),split,
Q14952,headgear,assign,headgear
C193946,scientific model (Class Pages),split,
C486902,mathematical model (Class Pages),split,
Q205892,calendar date,assign,Events
P182477,Nvidia,assign,Nvidia
Q12898224,vertebrate,split,
Q110551885,mammal,split,
Q57812611,captive mammal,assign,captive mammal
Q1531833,sport association,split,
Q11422536,international sport governing body,assign,international sport governing body
C3284399,statistical model (Class Pages),assign,statistical model (Class Pages)
Q8065,natural disaster,assign,Events
Q97662530,No label,split,
Q7748,law,split,
Q28873709,descriptive statistic,assign,descriptive statistic
P105773377,COVID-19_pandemic_in_Australia_statistics,assign,COVID-19_pandemic_in_Australia_statistics
P625713,BHP,assign,BHP
Q5791104,international crisis,assign,Events
C1510761,social change (Class Pages),split,
C49773,social movement (Class Pages),split,
Q107357104,type of dance,assign,type of dance
Q7977957,weak n-category,split,
Q719395,category,split,
Q121224584,thin category,split,
Q78054942,preordered set,split,
Q474715,partially ordered set,assign,partially ordered set
Q34362,astrology,split,
Q109483579,Ptolemaic system,split,
Q40540,zodiac,assign,zodiac
P5659481,Harmony_Day,assign,Events
P5061609,Central_Park_jogger_case,assign,Events
Q26944781,unpublished work,assign,unpublished work
P191764,Khmer_Rouge,assign,Events
C43460564,chemical entity (Class Pages),assign,chemical entity (Class Pages)
Q727002,charter,assign,charter
Q5962346,classification scheme,assign,classification scheme
Q2497655,popular literature,assign,popular literature
Q31836768,model series,assign,model series
Q2832578,military deception,assign,Events
C2141565,situation (Class Pages),split,
Q107289726,collective human activity,assign,Events
Q63981612,product category,assign,product category
Q486902,mathematical model,split,
C621184,problem (Class Pages),split,
Q1626599,reference range,assign,reference range
Q11177771,artistic technique,assign,artistic technique
Q110401282,type of world view,assign,type of world view
Q63539947,artistic concept,split,
Q115211517,musical concept,assign,musical concept
C11460,clothing (Class Pages),assign,clothing (Class Pages)
Q332102,paranormal,assign,Events
Q28845870,biological component,split,
Q25449120,human organ,assign,human organ
Q13118105,duality,assign,duality
P22101909,Global_Liveability_Ranking,assign,Global_Liveability_Ranking
C1914636,activity (Class Pages),split,
P6186,Communism,assign,Communism
Q29428403,pentad,assign,pentad
C210729,electrical element (Class Pages),assign,electrical element (Class Pages)
Q734611,anti-social behaviour,split,
Q905726,manipulation,split,
Q7281,propaganda,split,
C1379672,evaluation (Class Pages),split,
P27423,BYD_Auto,assign,BYD_Auto
Q186619,argument,split,
Q764,fungi,assign,fungi
P189062,List_of_states_with_nuclear_weapons,assign,List_of_states_with_nuclear_weapons
Q2475641,megaproject,assign,Events
P179515,Maslow's_hierarchy_of_needs,assign,Maslow's_hierarchy_of_needs
Q3523102,source of information,split,
Q3750478,historical source,split,
Q333109,Überrest,split,
P2283,Microsoft,assign,Microsoft
Q2085518,format,split,
Q5891,philosophy,split,
C110832782,software resource (Class Pages),split,
C2199864,duration (Class Pages),assign,Events
C8065,natural disaster (Class Pages),assign,natural disaster (Class Pages)
Q3685487,interpersonal communication,split,
Q1066186,study of history,split,
Q130788,chronology,split,
Q4358176,council,split,
C21146257,type (Class Pages),split,
Q100792256,identifying artifact,assign,identifying artifact
C55568967,biological structure (Class Pages),split,
C4936952,anatomical structure (Class Pages),assign,anatomical structure (Class Pages)
Q5268834,information and communications technology,assign,information and communications technology
P4578880,1979_Sydney_Ghost_Train_fire,assign,Events
Q315,language,assign,language
C110854677,network resource (Class Pages),assign,network resource (Class Pages)
C88392887,part of a work (Class Pages),split,
Q113813711,coin type,assign,coin type
Q122853586,physical component,split,
Q1437361,form of art,assign,form of art
C4026292,action (Class Pages),split,
C43229,organization (Class Pages),split,
Q905511,secondary source,split,
Q1631107,bibliography,split,
C55412936,design element (Class Pages),split,
Q273057,discography,assign,discography
C20920559,procedure (Class Pages),split,
C2995644,result (Class Pages),split,
C10683158,substance (Class Pages),split,
C214609,material (Class Pages),split,
Q3331189,"version, edition or translation",assign,"version, edition or translation"
C2912517,value (Class Pages),split,
C391414,architectural element (Class Pages),split,
Q20665666,conclusion,split,
Q65943,theorem,assign,theorem
Q111972893,type of structure,split,
Q321703,premise,split,
Q41719,hypothesis,assign,hypothesis
Q14350,radio station,assign,radio station
Q8366,algorithm,assign,algorithm
Q951964,food product,assign,food product
C309314,quantity (Class Pages),split,
Q103813670,anatomical structure type,assign,anatomical structure type
Q12102552,print media,assign,print media
Q571,book,assign,book
C864377,multiset (Class Pages),split,
C2184715,durable good (Class Pages),split,
C36161,set (Class Pages),split,
Q25265,Felidae,assign,Felidae
C71550118,individual quantity (Class Pages),split,
Q29791211,sport in a geographic region,assign,sport in a geographic region
Q11460,clothing,assign,clothing
C111931734,effect (Class Pages),split,
C52948,interaction (Class Pages),split,
Q66310125,nonbiological component,split,
Q185451,strategy,split,
C28797,applied science (Class Pages),split,
Q294163,public institution,split,
Q702269,professional,split,
C133250,sequence (Class Pages),split,
C64728693,non-existent entity (Class Pages),split,
Q11422,toy,assign,toy
C10273457,equipment (Class Pages),split,
C125506646,transfer (Class Pages),split,
Q1781513,position,assign,position
C768186,sports equipment (Class Pages),assign,sports equipment (Class Pages)
Q131436,board game,assign,board game
C159344,heterotroph (Class Pages),assign,heterotroph (Class Pages)
C107715,physical quantity (Class Pages),split,
Q2995644,result,split,
Q2738074,political movement,split,
Q107359024,class of election,split,
Q19360703,by country,assign,by country
Q1228250,line,assign,line
C796194,medical procedure (Class Pages),assign,medical procedure (Class Pages)
Q2101619,political slogan,assign,political slogan
C1920219,social issue (Class Pages),split,
C20203388,extremity (Class Pages),split,
C811909,physical technological component (Class Pages),split,
C2000344,tactic (Class Pages),split,
Q1071,geography,assign,geography
C367293,convention (Class Pages),split,
Q2668072,collection,split,
Q184148,plug-in,split,
Q107466928,expansion pack,assign,expansion pack
Q82955,politician,assign,politician
Q1778821,cuisine,assign,cuisine
Q1970309,natural object,split,
Q3533467,group action,assign,Events
C178706,institution (Class Pages),split,
Q6498784,mathematical expression,split,
Q131714,archetype,assign,archetype
Q1797813,productive animal,assign,productive animal
Q16686022,natural physical object,assign,natural physical object
Q134601727,group of persons,assign,group of persons
C843601,health sciences (Class Pages),split,
Q60170135,political alliance,assign,political alliance
Q18573970,group of paintings,assign,group of paintings
Q33104129,sociological concept,split,
C472971,space (Class Pages),split,
Q19386377,register,assign,register
C749316,snack (Class Pages),assign,snack (Class Pages)
Q87167,manuscript,assign,manuscript
C134480019,proto-agent (Class Pages),split,
C11190,medicine (Class Pages),split,
Q3686466,legal conduct,split,
Q114046,occupation,assign,Events
Q8134,economics,split,
C37866906,information resource (Class Pages),split,
C49848,document (Class Pages),split,
Q12132,calendar system,split,
C427581,intangible asset (Class Pages),split,
C14897293,fictional entity (Class Pages),assign,fictional entity (Class Pages)
Q25481968,speech act,assign,Events
Q11999558,perceptual distortion,assign,perceptual distortion
Q8081,tornado,assign,Events
Q62079110,subsidiary organization,split,
Q9261468,organizational subdivision,assign,organizational subdivision
Q45296117,aircraft type,assign,aircraft type
C55091441,operation result (Class Pages),split,
C1150070,change (Class Pages),split,
C1639378,social system (Class Pages),split,
Q8162,linguistics,assign,linguistics
C61788060,human activity (Class Pages),split,
C105948247,knowledge system (Class Pages),split,
C5891,philosophy (Class Pages),split,
Q334166,mode of transport,assign,mode of transport
Q20742825,cultural depiction,assign,cultural depiction
C2823610,financial asset (Class Pages),assign,financial asset (Class Pages)
C213016,thermodynamic process (Class Pages),split,
C1207505,quality (Class Pages),split,
Q210729,electrical element,split,
C33122512,social sciences and humanities (Class Pages),split,
C451967,intentional human activity (Class Pages),split,
C1549152,public institution (Class Pages),split,
C2659904,government organization (Class Pages),assign,government organization (Class Pages)
C28823,textile (Class Pages),assign,textile (Class Pages)
Q1387659,school of thought,assign,school of thought
Q101051813,big and small,split,
Q2362312,subsystem,split,
Q2448108,structural system,split,
Q846882,sources of law,split,
C251777,custom (Class Pages),split,
Q681615,syndicate,split,
Q178790,labor union,assign,labor union
C2438541,manner of death (Class Pages),split,
C12136,disease (Class Pages),assign,disease (Class Pages)
Q30941709,government document,assign,Events
Q17197366,type of organization,assign,type of organization
C136749248,way (Class Pages),split,
C83620,thoroughfare (Class Pages),assign,thoroughfare (Class Pages)
Q187097,economic geography,split,
Q1350203,tourism geography,split,
Q96102071,animal watching site,split,
Q43501,zoo,assign,zoo
Q207174,personification,split,
C29485,error (Class Pages),split,
C2451477,natural material (Class Pages),split,
C8063,rock (Class Pages),assign,rock (Class Pages)
C104637332,planned process (Class Pages),split,
C9420,thought (Class Pages),split,
Q3689704,oral communication,split,
Q11023,engineering,split,
Q16335296,historical profession,assign,historical profession
Q751989,astronomical phenomenon,assign,Events
C1084,noun (Class Pages),assign,noun (Class Pages)
C1665268,command (Class Pages),assign,command (Class Pages)
C1454986,physical system (Class Pages),assign,physical system (Class Pages)
C208920,one-dimensional space (Class Pages),split,
C161973,curve (Class Pages),assign,curve (Class Pages)
Q1967459,concours,assign,Events
C61961344,group of physical objects (Class Pages),split,
C16334298,group of living things (Class Pages),assign,group of living things (Class Pages)
