Date,Views
2017-02-09,157497
2017-02-10,765874
2017-02-11,1233359
2017-02-12,1183994
2017-02-13,821109
2017-02-14,717707
2017-02-15,683571
2017-02-16,676771
2017-02-17,719833
2017-02-18,858803
2017-02-19,1131709
2017-02-20,714978
2017-02-21,659780
2017-02-22,645916
2017-02-23,606369
2017-02-24,726711
2017-02-25,891300
2017-02-26,937989
2017-02-27,1228088
2017-02-28,823008
2017-03-01,698972
2017-03-02,687042
2017-03-03,756674
2017-03-04,867312
2017-03-05,943282
2017-03-06,668202
2017-03-07,644729
2017-03-08,683423
2017-03-09,677268
2017-03-10,802931
2017-03-11,836394
2017-03-12,946765
2017-03-13,779426
2017-03-14,702898
2017-03-15,753787
2017-03-16,663740
2017-03-17,721831
2017-03-18,794219
2017-03-19,966635
2017-03-20,710531
2017-03-21,719852
2017-03-22,696338
2017-03-23,662954
2017-03-24,692334
2017-03-25,898742
2017-03-26,961753
2017-03-27,739195
2017-03-28,713756
2017-03-29,599093
2017-03-30,623159
2017-03-31,577719
2017-04-01,757297
2017-04-02,795918
2017-04-03,770122
2017-04-04,649839
2017-04-05,687629
2017-04-06,579323
2017-04-07,706520
2017-04-08,752339
2017-04-09,847489
2017-04-10,767600
2017-04-11,632641
2017-04-12,682568
2017-04-13,661787
2017-04-14,982604
2017-04-15,853783
2017-04-16,978964
2017-04-17,911987
2017-04-18,758894
2017-04-19,825221
2017-04-20,726714
2017-04-21,723686
2017-04-22,824743
2017-04-23,1164836
2017-04-24,1275713
2017-04-25,1493146
2017-04-26,802045
2017-04-27,660774
2017-04-28,667688
2017-04-29,798961
2017-04-30,971808
2017-05-01,863149
2017-05-02,688479
2017-05-03,894053
2017-05-04,738610
2017-05-05,696343
2017-05-06,852840
2017-05-07,880674
2017-05-08,860650
2017-05-09,696512
2017-05-10,661631
2017-05-11,594153
2017-05-12,640799
2017-05-13,803884
2017-05-14,936952
2017-05-15,731619
2017-05-16,650230
2017-05-17,677304
2017-05-18,758838
2017-05-19,804028
2017-05-20,808141
2017-05-21,816037
2017-05-22,865958
2017-05-23,850387
2017-05-24,805080
2017-05-25,647276
2017-05-26,726949
2017-05-27,806538
2017-05-28,875802
2017-05-29,736899
2017-05-30,662150
2017-05-31,847689
2017-06-01,629949
2017-06-02,702511
2017-06-03,771695
2017-06-04,888326
2017-06-05,969671
2017-06-06,688515
2017-06-07,677650
2017-06-08,682150
2017-06-09,891823
2017-06-10,870592
2017-06-11,1031686
2017-06-12,874603
2017-06-13,797945
2017-06-14,661321
2017-06-15,572096
2017-06-16,634140
2017-06-17,762561
2017-06-18,827248
2017-06-19,726075
2017-06-20,906420
2017-06-21,781240
2017-06-22,554454
2017-06-23,626230
2017-06-24,681791
2017-06-25,809332
2017-06-27,540568
2017-06-28,527589
2017-06-29,540674
2017-06-30,527048
2017-07-01,629115
2017-07-02,853400
2017-07-03,601784
2017-07-04,519033
2017-07-05,572907
2017-07-06,526512
2017-07-07,584021
2017-07-08,690132
2017-07-09,792030
2017-07-10,712206
2017-07-11,577889
2017-07-12,829699
2017-07-13,662119
2017-07-14,676450
2017-07-15,790305
2017-07-16,932924
2017-07-17,971745
2017-07-18,843597
2017-07-19,599912
2017-07-20,614937
2017-07-21,831597
2017-07-22,805357
2017-07-23,886425
2017-07-25,611285
2017-07-26,566012
2017-07-27,512195
2017-07-28,601192
2017-07-29,682682
2017-07-30,936859
2017-07-31,731432
2017-08-01,563005
2017-08-02,528166
2017-08-03,471310
2017-08-04,533148
2017-08-05,674651
2017-08-06,848326
2017-08-07,790338
2017-08-08,586030
2017-08-09,567402
2017-08-10,607423
2017-08-11,529845
2017-08-12,750971
2017-08-13,740841
2017-08-14,686677
2017-08-15,659339
2017-08-16,574290
2017-08-17,579406
2017-08-18,579966
2017-08-19,722030
2017-08-20,760077
2017-08-21,866266
2017-08-22,590229
2017-08-23,541133
2017-08-24,559105
2017-08-25,605902
2017-08-26,751224
2017-08-27,1026360
2017-08-28,902670
2017-08-29,657347
2017-08-30,538550
2017-08-31,600987
2017-09-01,664921
2017-09-02,647675
2017-09-03,780036
2017-09-04,685115
2017-09-05,700963
2017-09-06,721814
2017-09-07,722689
2017-09-08,663066
2017-09-09,732503
2017-09-10,807477
2017-09-11,694057
2017-09-12,599414
2017-09-13,535435
2017-09-14,582420
2017-09-15,632168
2017-09-16,750765
2017-09-17,913022
2017-09-18,781874
2017-09-19,613433
2017-09-20,565873
2017-09-21,543251
2017-09-22,669743
2017-09-23,887157
2017-09-24,881112
2017-09-25,822108
2017-09-26,579676
2017-09-27,638984
2017-09-28,893472
2017-09-29,779200
2017-09-30,1385556
2017-10-01,1384439
2017-10-02,948209
2017-10-03,768522
2017-10-04,619538
2017-10-05,620416
2017-10-06,705757
2017-10-07,894760
2017-10-08,1029039
2017-10-09,700655
2017-10-10,722693
2017-10-11,714761
2017-10-12,566684
2017-10-13,658355
2017-10-14,790647
2017-10-15,825391
2017-10-16,840784
2017-10-17,699730
2017-10-18,606036
2017-10-19,728813
2017-10-20,714193
2017-10-21,743894
2017-10-22,850436
2017-10-23,711258
2017-10-24,555540
2017-10-25,682346
2017-10-26,652557
2017-10-27,753982
2017-10-28,872074
2017-10-29,950426
2017-10-30,847733
2017-10-31,766422
2017-11-01,652318
2017-11-02,650240
2017-11-03,636397
2017-11-04,868843
2017-11-05,1100186
2017-11-06,821993
2017-11-07,774784
2017-11-08,580595
2017-11-09,588456
2017-11-10,681589
2017-11-11,850576
2017-11-12,839831
2017-11-13,687450
2017-11-14,678768
2017-11-15,930258
2017-11-16,752391
2017-11-17,686766
2017-11-18,880065
2017-11-19,1081866
2017-11-20,905040
2017-11-21,681209
2017-11-22,797360
2017-11-23,649335
2017-11-24,687779
2017-11-25,765428
2017-11-26,978020
2017-11-27,856757
2017-11-28,812789
2017-11-29,682575
2017-11-30,641495
2017-12-01,698005
2017-12-02,818212
2017-12-03,998939
2017-12-04,686395
2017-12-05,635488
2017-12-06,623631
2017-12-07,588109
2017-12-08,658811
2017-12-09,799901
2017-12-10,892930
2017-12-11,662830
2017-12-12,659029
2017-12-13,763282
2017-12-14,689250
2017-12-15,669966
2017-12-16,950783
2017-12-17,930760
2017-12-18,747875
2017-12-19,728888
2017-12-20,635861
2017-12-21,540963
2017-12-22,566914
2017-12-23,658781
2017-12-24,785105
2017-12-25,675202
2017-12-26,1049822
2017-12-27,1021222
2017-12-28,807964
2017-12-29,887097
2017-12-30,978773
2017-12-31,1024719
2018-01-01,1061180
2018-01-02,929737
2018-01-03,917545
2018-01-04,897490
2018-01-05,1011908
2018-01-06,1196645
2018-01-07,1144599
2018-01-08,1195195
2018-01-09,913533
2018-01-10,869714
2018-01-11,834614
2018-01-12,886878
2018-01-13,1107571
2018-01-14,1054603
2018-01-15,1006354
2018-01-16,933164
2018-01-17,937107
2018-01-18,961465
2018-01-19,1042172
2018-01-20,1378256
2018-01-21,1442409
2018-01-22,1264886
2018-01-23,1047726
2018-01-24,1159073
2018-01-25,1146458
2018-01-26,1298249
2018-01-27,1633478
2018-01-28,1975382
2018-01-29,1116373
2018-01-30,695374
2018-01-31,744505
2018-02-01,635858
2018-02-02,753055
2018-02-03,945827
2018-02-04,1109562
2018-02-05,1171564
2018-02-06,760772
2018-02-07,742578
2018-02-08,704692
2018-02-09,818804
2018-02-10,888445
2018-02-11,1239140
2018-02-12,912771
2018-02-13,749994
2018-02-14,726786
2018-02-15,762284
2018-02-16,722920
2018-02-17,829027
2018-02-18,871650
2018-02-19,754132
2018-02-20,639742
2018-02-21,594624
2018-02-22,637154
2018-02-23,665891
2018-02-24,815441
2018-02-25,1059406
2018-02-26,677141
2018-02-27,583796
2018-02-28,594017
2018-03-01,596895
2018-03-02,641021
2018-03-03,736981
2018-03-04,924716
2018-03-05,1044097
2018-03-06,649737
2018-03-07,570707
2018-03-08,595021
2018-03-09,589118
2018-03-10,691568
2018-03-11,796481
2018-03-12,721700
2018-03-13,630058
2018-03-14,985549
2018-03-15,628470
2018-03-16,652240
2018-03-17,896410
2018-03-18,855329
2018-03-19,611611
2018-03-20,850568
2018-03-21,886516
2018-03-22,814142
2018-03-23,611784
2018-03-24,742286
2018-03-25,897941
2018-03-26,654739
2018-03-27,586055
2018-03-28,553659
2018-03-29,566480
2018-03-30,920781
2018-03-31,822947
2018-04-01,833237
2018-04-02,926286
2018-04-03,767258
2018-04-04,971737
2018-04-05,739039
2018-04-06,798376
2018-04-07,888554
2018-04-08,1053507
2018-04-09,966920
2018-04-10,922902
2018-04-11,834649
2018-04-12,732422
2018-04-13,698548
2018-04-14,928890
2018-04-15,1635559
2018-04-16,926923
2018-04-17,703748
2018-04-18,668085
2018-04-19,553691
2018-04-20,731501
2018-04-21,1022943
2018-04-22,1035002
2018-04-23,767487
2018-04-24,986296
2018-04-25,1505101
2018-04-26,901764
2018-04-27,977688
2018-04-28,983260
2018-04-29,971493
2018-04-30,794000
2018-05-01,722618
2018-05-02,667387
2018-05-03,767447
2018-05-04,732776
2018-05-05,879051
2018-05-06,870285
2018-05-07,835341
2018-05-08,751106
2018-05-09,671512
2018-05-10,687643
2018-05-11,712055
2018-05-12,925870
2018-05-13,1312737
2018-05-14,850695
2018-05-15,855728
2018-05-16,774389
2018-05-17,691811
2018-05-18,794188
2018-05-19,2376559
2018-05-20,1949609
2018-05-21,1153281
2018-05-22,872294
2018-05-23,712177
2018-05-24,739293
2018-05-25,810575
2018-05-26,924036
2018-05-27,957979
2018-05-28,804983
2018-05-29,744544
2018-05-30,708375
2018-05-31,628600
2018-06-01,795123
2018-06-02,800204
2018-06-03,837801
2018-06-04,703369
2018-06-05,707780
2018-06-06,893817
2018-06-07,705369
2018-06-08,894114
2018-06-09,1135243
2018-06-10,1182671
2018-06-11,1040956
2018-06-12,712453
2018-06-13,595600
2018-06-14,668670
2018-06-15,761311
2018-06-16,1071736
2018-06-17,970236
2018-06-18,793423
2018-06-19,820437
2018-06-20,695855
2018-06-21,922912
2018-06-22,827711
2018-06-23,967428
2018-06-24,1091881
2018-06-25,713158
2018-06-26,784919
2018-06-27,619288
2018-06-28,608953
2018-06-29,685516
2018-06-30,841012
2018-07-01,984410
2018-07-02,822991
2018-07-03,755818
2018-07-04,656349
2018-07-05,579353
2018-07-06,735774
2018-07-07,992102
2018-07-08,927229
2018-07-09,703152
2018-07-10,697736
2018-07-11,822945
2018-07-12,650824
2018-07-13,633199
2018-07-14,790969
2018-07-15,1026384
2018-07-16,748291
2018-07-17,665306
2018-07-18,536896
2018-07-19,521344
2018-07-20,542994
2018-07-21,730924
2018-07-22,710761
2018-07-23,578531
2018-07-24,534140
2018-07-25,541623
2018-07-26,559088
2018-07-27,586893
2018-07-28,684349
2018-07-29,780543
2018-07-30,585604
2018-07-31,554483
2018-08-01,626528
2018-08-02,605456
2018-08-03,615996
2018-08-04,699136
2018-08-05,730269
2018-08-06,687237
2018-08-07,618374
2018-08-08,562580
2018-08-09,519693
2018-08-10,533816
2018-08-11,599637
2018-08-12,646914
2018-08-13,542288
2018-08-14,510514
2018-08-15,607576
2018-08-16,580544
2018-08-17,628032
2018-08-18,754225
2018-08-19,790089
2018-08-20,751872
2018-08-21,688445
2018-08-22,688990
2018-08-23,862105
2018-08-24,1546144
2018-08-25,921560
2018-08-26,1121029
2018-08-27,765073
2018-08-28,596315
2018-08-29,629552
2018-08-30,600611
2018-08-31,675708
2018-09-01,777105
2018-09-02,787089
2018-09-03,616848
2018-09-04,629825
2018-09-05,596192
2018-09-06,670865
2018-09-07,1036692
2018-09-08,934685
2018-09-09,914034
2018-09-10,699919
2018-09-11,621078
2018-09-12,672674
2018-09-13,649446
2018-09-14,736511
2018-09-15,847934
2018-09-16,828525
2018-09-17,717741
2018-09-18,711526
2018-09-19,638827
2018-09-20,598871
2018-09-21,799871
2018-09-22,900958
2018-09-23,848870
2018-09-24,915116
2018-09-25,657703
2018-09-26,627639
2018-09-27,665653
2018-09-28,681274
2018-09-29,1344937
2018-09-30,1253545
2018-10-01,896884
2018-10-02,645237
2018-10-03,578700
2018-10-04,655117
2018-10-05,681597
2018-10-06,902925
2018-10-07,1196869
2018-10-08,693495
2018-10-09,734249
2018-10-10,623368
2018-10-11,593958
2018-10-12,963468
2018-10-13,822624
2018-10-14,928167
2018-10-15,755131
2018-10-16,642816
2018-10-17,660302
2018-10-18,589426
2018-10-19,631145
2018-10-20,985259
2018-10-21,853527
2018-10-22,836625
2018-10-23,710162
2018-10-24,655772
2018-10-25,660435
2018-10-26,760569
2018-10-27,904312
2018-10-28,1004206
2018-10-29,860917
2018-10-30,612362
2018-10-31,608320
2018-11-01,551140
2018-11-02,682028
2018-11-03,852195
2018-11-04,996826
2018-11-05,768195
2018-11-06,837732
2018-11-07,689389
2018-11-08,529026
2018-11-09,622070
2018-11-10,894713
2018-11-11,1014822
2018-11-12,712257
2018-11-13,656710
2018-11-14,589512
2018-11-15,593072
2018-11-16,619987
2018-11-17,873624
2018-11-18,837898
2018-11-19,634703
2018-11-20,635136
2018-11-21,628846
2018-11-22,681210
2018-11-23,679585
2018-11-24,863428
2018-11-25,856144
2018-11-26,585835
2018-11-27,528823
2018-11-28,620321
2018-11-29,517892
2018-11-30,563197
2018-12-01,774545
2018-12-02,880737
2018-12-03,630211
2018-12-04,595232
2018-12-05,519800
2018-12-06,473852
2018-12-07,546671
2018-12-08,706716
2018-12-09,804485
2018-12-10,512355
2018-12-11,474094
2018-12-12,503593
2018-12-13,528667
2018-12-14,555408
2018-12-15,647616
2018-12-16,788531
2018-12-17,659133
2018-12-18,506591
2018-12-19,556479
2018-12-20,436093
2018-12-21,515127
2018-12-22,709272
2018-12-23,618043
2018-12-24,651743
2018-12-25,607266
2018-12-26,742863
2018-12-27,822372
2018-12-28,809241
2018-12-29,1134520
2018-12-30,1061886
2018-12-31,862503
2019-01-01,1007787
2019-01-02,840626
2019-01-03,796535
2019-01-04,903450
2019-01-05,1073655
2019-01-06,1134789
2019-01-07,1061271
2019-01-08,733492
2019-01-09,649201
2019-01-10,642921
2019-01-11,839260
2019-01-12,1168859
2019-01-13,970354
2019-01-14,1190370
2019-01-15,981049
2019-01-16,1021094
2019-01-17,1096933
2019-01-18,1146005
2019-01-19,1240475
2019-01-20,1567353
2019-01-21,1127298
2019-01-22,1113779
2019-01-23,916303
2019-01-24,984255
2019-01-25,1008561
2019-01-26,1610875
2019-01-27,1871374
2019-01-28,1229855
2019-01-29,722995
2019-01-30,592372
2019-01-31,532869
2019-02-01,678693
2019-02-02,893776
2019-02-03,954385
2019-02-04,921598
2019-02-05,565623
2019-02-06,536672
2019-02-07,545214
2019-02-08,676257
2019-02-09,833283
2019-02-10,805887
2019-02-11,633098
2019-02-12,550610
2019-02-13,517236
2019-02-14,577825
2019-02-15,699398
2019-02-16,882234
2019-02-17,941753
2019-02-18,739589
2019-02-19,629113
2019-02-20,646866
2019-02-21,600664
2019-02-22,785286
2019-02-23,828303
2019-02-24,828706
2019-02-25,1166020
2019-02-26,736594
2019-02-27,675218
2019-02-28,681908
2019-03-01,847293
2019-03-02,935737
2019-03-03,941783
2019-03-04,825619
2019-03-05,794917
2019-03-06,659742
2019-03-07,698672
2019-03-08,800597
2019-03-09,991671
2019-03-10,1000024
2019-03-11,848440
2019-03-12,666906
2019-03-13,681995
2019-03-14,621295
2019-03-15,1028437
2019-03-16,1158441
2019-03-17,1212208
2019-03-18,801949
2019-03-19,694136
2019-03-20,653140
2019-03-21,712266
2019-03-22,782719
2019-03-23,1174741
2019-03-24,1059657
2019-03-25,766245
2019-03-26,603179
2019-03-27,575529
2019-03-28,612412
2019-03-29,688445
2019-03-30,872349
2019-03-31,920441
2019-04-01,718905
2019-04-02,593096
2019-04-03,614535
2019-04-04,628089
2019-04-05,774902
2019-04-06,786690
2019-04-07,732128
2019-04-08,701216
2019-04-09,618542
2019-04-10,597344
2019-04-11,727796
2019-04-12,790327
2019-04-13,859861
2019-04-14,982189
2019-04-15,1017037
2019-04-16,846745
2019-04-17,664409
2019-04-18,599148
2019-04-19,1015199
2019-04-20,828562
2019-04-21,999446
2019-04-22,1071763
2019-04-23,812658
2019-04-24,935855
2019-04-25,1245344
2019-04-26,1010940
2019-04-27,1018250
2019-04-28,1011544
2019-04-29,891459
2019-04-30,871216
2019-05-01,887980
2019-05-02,781933
2019-05-03,894208
2019-05-04,1029548
2019-05-05,1087090
2019-05-06,903454
2019-05-07,884353
2019-05-08,941386
2019-05-09,826471
2019-05-10,847955
2019-05-11,927056
2019-05-12,1010925
2019-05-13,885389
2019-05-14,951691
2019-05-15,856237
2019-05-16,1205334
2019-05-17,1287886
2019-05-18,2159325
2019-05-19,1708610
2019-05-20,1309410
2019-05-21,966355
2019-05-22,903649
2019-05-23,897841
2019-05-24,933888
2019-05-25,903097
2019-05-26,1098160
2019-05-27,902622
2019-05-28,699855
2019-05-29,740631
2019-05-30,779510
2019-05-31,835545
2019-06-01,997167
2019-06-02,1187212
2019-06-03,990206
2019-06-04,956517
2019-06-05,1005836
2019-06-06,800327
2019-06-07,930255
2019-06-08,1255175
2019-06-09,1371047
2019-06-10,1278754
2019-06-11,810716
2019-06-12,749070
2019-06-13,1326971
2019-06-14,964746
2019-06-15,913293
2019-06-16,1063342
2019-06-17,755435
2019-06-18,755599
2019-06-19,656873
2019-06-20,695959
2019-06-21,881743
2019-06-22,867913
2019-06-23,1026307
2019-06-24,801810
2019-06-25,766828
2019-06-26,655489
2019-06-27,657787
2019-06-28,701299
2019-06-29,904800
2019-06-30,1119275
2019-07-01,798639
2019-07-02,740654
2019-07-03,755544
2019-07-04,756097
2019-07-05,819165
2019-07-06,994334
2019-07-07,1269758
2019-07-08,885314
2019-07-09,691639
2019-07-10,859384
2019-07-11,825683
2019-07-12,849438
2019-07-13,1075762
2019-07-14,1185251
2019-07-15,802800
2019-07-16,678144
2019-07-17,685830
2019-07-18,685126
2019-07-19,806745
2019-07-20,964321
2019-07-21,1166264
2019-07-22,751573
2019-07-23,740317
2019-07-24,774304
2019-07-25,692032
2019-07-26,690786
2019-07-27,806839
2019-07-28,881385
2019-07-29,660498
2019-07-30,619931
2019-07-31,563393
2019-08-01,560153
2019-08-02,593135
2019-08-03,810576
2019-08-04,983737
2019-08-05,753565
2019-08-06,656257
2019-08-07,577833
2019-08-08,578494
2019-08-09,595123
2019-08-10,918071
2019-08-11,1059655
2019-08-12,736092
2019-08-13,644635
2019-08-14,649340
2019-08-15,661451
2019-08-16,710040
2019-08-17,1026220
2019-08-18,1050357
2019-08-19,704430
2019-08-20,729265
2019-08-21,690712
2019-08-22,711981
2019-08-23,688724
2019-08-24,983712
2019-08-25,963728
2019-08-26,718513
2019-08-27,690168
2019-08-28,644716
2019-08-29,661761
2019-08-30,717689
2019-08-31,908336
2019-09-01,898529
2019-09-02,648426
2019-09-03,591431
2019-09-04,604984
2019-09-05,1333900
2019-09-06,1932540
2019-09-07,2168784
2019-09-08,2286408
2019-09-09,2097061
2019-09-10,1264937
2019-09-11,883991
2019-09-12,620783
2019-09-13,705798
2019-09-14,770809
2019-09-15,862694
2019-09-16,671804
2019-09-17,597706
2019-09-18,541106
2019-09-19,572275
2019-09-20,732947
2019-09-21,984390
2019-09-22,885853
2019-09-23,1092022
2019-09-24,976165
2019-09-25,709167
2019-09-26,628456
2019-09-27,831833
2019-09-28,1493731
2019-09-29,972743
2019-09-30,858626
2019-10-01,917792
2019-10-02,638912
2019-10-03,550756
2019-10-04,780352
2019-10-05,1004699
2019-10-06,1328182
2019-10-07,1088078
2019-10-08,892602
2019-10-09,638513
2019-10-10,578417
2019-10-11,665867
2019-10-12,941253
2019-10-13,1234893
2019-10-14,1045310
2019-10-15,860209
2019-10-16,671537
2019-10-17,550456
2019-10-18,619818
2019-10-19,870299
2019-10-20,863328
2019-10-21,713330
2019-10-22,604599
2019-10-23,519804
2019-10-24,521267
2019-10-25,628453
2019-10-26,918630
2019-10-27,952319
2019-10-28,609242
2019-10-29,548380
2019-10-30,618630
2019-10-31,600139
2019-11-01,798463
2019-11-02,1222429
2019-11-03,1092875
2019-11-04,779481
2019-11-05,912237
2019-11-06,661229
2019-11-07,585442
2019-11-08,665812
2019-11-09,865583
2019-11-10,949686
2019-11-11,629131
2019-11-12,592758
2019-11-13,563149
2019-11-14,538429
2019-11-15,597771
2019-11-16,727759
2019-11-17,920714
2019-11-18,767450
2019-11-19,765240
2019-11-20,724187
2019-11-21,689713
2019-11-22,779430
2019-11-23,898574
2019-11-24,1065011
2019-11-25,757241
2019-11-26,645596
2019-11-27,802565
2019-11-28,674020
2019-11-29,680285
2019-11-30,941126
2019-12-01,911433
2019-12-02,637507
2019-12-03,649827
2019-12-04,561805
2019-12-05,506616
2019-12-06,602148
2019-12-07,745387
2019-12-08,882405
2019-12-09,768499
2019-12-10,658931
2019-12-11,570380
2019-12-12,530735
2019-12-13,703505
2019-12-14,727648
2019-12-15,863382
2019-12-16,557951
2019-12-17,581871
2019-12-18,582464
2019-12-19,834683
2019-12-20,727709
2019-12-21,1056564
2019-12-22,879923
2019-12-23,673077
2019-12-24,759961
2019-12-25,722615
2019-12-26,948257
2019-12-27,891863
2019-12-28,1100036
2019-12-29,1013986
2019-12-30,877518
2019-12-31,819513
2020-01-01,994535
2020-01-02,872951
2020-01-03,1099081
2020-01-04,1231239
2020-01-05,1263252
2020-01-06,1188765
2020-01-07,960674
2020-01-08,982588
2020-01-09,914975
2020-01-10,1328775
2020-01-11,1138256
2020-01-12,1168314
2020-01-13,953445
2020-01-14,922279
2020-01-15,832679
2020-01-16,822083
2020-01-17,974788
2020-01-18,1111770
2020-01-19,1214001
2020-01-20,1048355
2020-01-21,921218
2020-01-22,964321
2020-01-23,1049975
2020-01-24,1285574
2020-01-25,1571862
2020-01-26,1917517
2020-01-27,2240503
2020-01-28,1443239
2020-01-29,1265727
2020-01-30,1257137
2020-01-31,1060996
2020-02-01,1451616
2020-02-02,1601868
2020-02-03,1108878
2020-02-04,769155
2020-02-05,790252
2020-02-06,854211
2020-02-07,796598
2020-02-08,1009746
2020-02-09,1204093
2020-02-10,1212944
2020-02-11,717133
2020-02-12,662656
2020-02-13,675989
2020-02-14,760159
2020-02-15,999351
2020-02-16,1746847
2020-02-17,729233
2020-02-18,573339
2020-02-19,622329
2020-02-20,518262
2020-02-21,604620
2020-02-22,857030
2020-02-23,977622
2020-02-24,644070
2020-02-25,611009
2020-02-26,559590
2020-02-27,572508
2020-02-28,692659
2020-02-29,807639
2020-03-01,924897
2020-03-02,626036
2020-03-03,569673
2020-03-04,628875
2020-03-05,654485
2020-03-06,676988
2020-03-07,839046
2020-03-08,1095932
